epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,1131.37,1.1716,0.69626,0.90353,0.82159,0.85581,0.91327,0.5881,1.13241,0.74027,0.91327,0.00101,0.00101,0.00101
102,1142.15,1.14506,0.69905,0.90575,0.86681,0.86389,0.93345,0.62803,1.08688,0.6957,0.92483,0.0010001,0.0010001,0.0010001
103,1154.07,1.15312,0.70025,0.90652,0.87164,0.84071,0.91861,0.58715,1.11693,0.68513,0.92055,0.0009902,0.0009902,0.0009902
104,1164.97,1.14092,0.68584,0.90615,0.86071,0.87498,0.9128,0.61639,1.06186,0.70778,0.9218,0.0009803,0.0009803,0.0009803
105,1175.92,1.16979,0.72813,0.89986,0.85577,0.84071,0.92353,0.62165,1.06289,0.69045,0.90795,0.0009704,0.0009704,0.0009704
106,1186.78,1.15106,0.71999,0.89714,0.82221,0.81856,0.90454,0.59593,1.07095,0.70066,0.90316,0.0009605,0.0009605,0.0009605
107,1197.61,1.09614,0.66981,0.91235,0.87159,0.84091,0.93098,0.63332,1.0418,0.66651,0.90626,0.0009506,0.0009506,0.0009506
108,1209.52,1.10491,0.67156,0.90246,0.85478,0.85841,0.93511,0.64036,1.07836,0.68982,0.90973,0.0009407,0.0009407,0.0009407
109,1221.61,1.14072,0.68049,0.91287,0.85134,0.84071,0.92482,0.61062,1.09856,0.66124,0.92426,0.0009308,0.0009308,0.0009308
110,1232.49,1.09432,0.67471,0.89828,0.84146,0.92035,0.94617,0.62921,1.02019,0.63295,0.89724,0.0009209,0.0009209,0.0009209
111,1243.52,1.103,0.65324,0.89131,0.87141,0.84071,0.92358,0.6259,1.08141,0.65906,0.90709,0.000911,0.000911,0.000911
112,1254.58,1.13685,0.68885,0.89529,0.86194,0.82876,0.91852,0.6392,1.05078,0.69207,0.90492,0.0009011,0.0009011,0.0009011
113,1265.39,1.15924,0.67011,0.91463,0.93448,0.73451,0.90999,0.60175,1.11741,0.71239,0.91671,0.0008912,0.0008912,0.0008912
114,1276.3,1.09505,0.64003,0.88134,0.9112,0.81732,0.94347,0.6437,0.99847,0.63678,0.90054,0.0008813,0.0008813,0.0008813
